+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u_BusMatrix3x3|u_outputstage_2|u_output_arb                          ; 13    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_2                                       ; 447   ; 0              ; 0            ; 0              ; 151    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_1|u_output_arb                          ; 13    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_1                                       ; 447   ; 0              ; 0            ; 0              ; 151    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_0|u_output_arb                          ; 13    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_0                                       ; 447   ; 0              ; 0            ; 0              ; 151    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi2|u_BusMatrix3x3_default_slave ; 6     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi2                              ; 232   ; 0              ; 0            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi1|u_BusMatrix3x3_default_slave ; 6     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi1                              ; 232   ; 0              ; 0            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi0|u_BusMatrix3x3_default_slave ; 6     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi0                              ; 232   ; 0              ; 0            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_InputStage_2                                        ; 90    ; 0              ; 0            ; 0              ; 87     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_InputStage_1                                        ; 90    ; 0              ; 0            ; 0              ; 87     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_InputStage_0                                        ; 90    ; 0              ; 0            ; 0              ; 87     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3                                                       ; 653   ; 349            ; 0            ; 349            ; 544    ; 349             ; 349           ; 349             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_CORTEXM3INTEGRATION|u_cortexm3ds_logic                             ; 482   ; 39             ; 180          ; 39             ; 878    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_CORTEXM3INTEGRATION                                                ; 482   ; 373            ; 0            ; 373            ; 215    ; 373             ; 373           ; 373             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
